場所,コースタイプ,芝・ダ,距離帯,馬場分類,枠ゾーン,血統区分,血統名,母数,勝利数,複勝数,勝率,複勝率,単勝回収率,複勝回収率,平均人気,基準複勝率,複勝率差,リフト,評価,特徴コメント
阪神,坂あり・パワー型,ダ,短距離(1000-1300),重不良,中枠(3-6),母父系統,ネイティヴダンサー系,259,29,73,0.112,0.2819,152.7,0.0,7.29,0.203,0.0789,1.389,A,阪神ダ短距離(1000-1300)・重不良・中枠(3-6)で母父系統「ネイティヴダンサー系」は基準比リフト1.389
中山,坂あり・パワー型,ダ,中距離(1700-2000),稍,内枠(1-2),母父系統,ネイティヴダンサー系,316,22,76,0.0696,0.2405,101.0,0.0,7.76,0.1835,0.057,1.311,A,中山ダ中距離(1700-2000)・稍・内枠(1-2)で母父系統「ネイティヴダンサー系」は基準比リフト1.311
小倉,小回り・機動型,芝,短距離(1000-1300),稍,中枠(3-6),母父系統,ナスルーラ系,151,10,38,0.0662,0.2517,60.1,0.0,8.72,0.1925,0.0592,1.308,A,小倉芝短距離(1000-1300)・稍・中枠(3-6)で母父系統「ナスルーラ系」は基準比リフト1.308
小倉,小回り・機動型,ダ,短距離(1000-1300),稍,中枠(3-6),母父系統,ニアークティック系,253,27,67,0.1067,0.2648,199.0,0.0,6.89,0.2062,0.0586,1.284,A,小倉ダ短距離(1000-1300)・稍・中枠(3-6)で母父系統「ニアークティック系」は基準比リフト1.284
中山,坂あり・パワー型,芝,中距離(1700-2000),良,中枠(3-6),母父系統,その他のエクリプス系,155,10,43,0.0645,0.2774,36.5,0.0,7.38,0.2165,0.0609,1.281,A,中山芝中距離(1700-2000)・良・中枠(3-6)で母父系統「その他のエクリプス系」は基準比リフト1.281
阪神,坂あり・パワー型,ダ,短距離(1000-1300),稍,内枠(1-2),母父系統,ネイティヴダンサー系,168,9,37,0.0536,0.2202,27.9,0.0,7.51,0.1721,0.0481,1.279,A,阪神ダ短距離(1000-1300)・稍・内枠(1-2)で母父系統「ネイティヴダンサー系」は基準比リフト1.279
阪神,坂あり・パワー型,ダ,短中距離(1400-1600),稍,外枠(7-8),母父系統,ネイティヴダンサー系,265,20,72,0.0755,0.2717,71.1,0.0,7.26,0.2147,0.057,1.265,A,阪神ダ短中距離(1400-1600)・稍・外枠(7-8)で母父系統「ネイティヴダンサー系」は基準比リフト1.265
阪神,坂あり・パワー型,ダ,短中距離(1400-1600),稍,内枠(1-2),母父系統,ネイティヴダンサー系,233,18,54,0.0773,0.2318,88.3,0.0,7.94,0.1843,0.0475,1.258,A,阪神ダ短中距離(1400-1600)・稍・内枠(1-2)で母父系統「ネイティヴダンサー系」は基準比リフト1.258
京都,平坦・スピード型,ダ,中距離(1700-2000),稍,外枠(7-8),母父系統,ネイティヴダンサー系,259,24,73,0.0927,0.2819,198.5,0.0,7.3,0.2257,0.0562,1.249,A,京都ダ中距離(1700-2000)・稍・外枠(7-8)で母父系統「ネイティヴダンサー系」は基準比リフト1.249
新潟,直線長め・平坦型,ダ,中距離(1700-2000),良,内枠(1-2),母父系統,ナスルーラ系,187,23,47,0.123,0.2513,259.0,0.0,7.44,0.2028,0.0485,1.239,A,新潟ダ中距離(1700-2000)・良・内枠(1-2)で母父系統「ナスルーラ系」は基準比リフト1.239
中山,坂あり・パワー型,芝,中長距離(2100-2400),良,外枠(7-8),母父系統,ニアークティック系,228,14,60,0.0614,0.2632,62.4,0.0,7.99,0.2138,0.0494,1.231,A,中山芝中長距離(2100-2400)・良・外枠(7-8)で母父系統「ニアークティック系」は基準比リフト1.231
札幌,小回り・持続型,芝,短中距離(1400-1600),良,外枠(7-8),母父系統,ニアークティック系,251,25,67,0.0996,0.2669,79.9,0.0,6.92,0.2171,0.0498,1.229,A,札幌芝短中距離(1400-1600)・良・外枠(7-8)で母父系統「ニアークティック系」は基準比リフト1.229
中京,直線長め・持続型,芝,中距離(1700-2000),良,外枠(7-8),母父系統,ネイティヴダンサー系,435,38,105,0.0874,0.2414,88.8,0.0,8.06,0.1964,0.045,1.229,A,中京芝中距離(1700-2000)・良・外枠(7-8)で母父系統「ネイティヴダンサー系」は基準比リフト1.229
新潟,直線長め・平坦型,ダ,短距離(1000-1300),良,内枠(1-2),母父系統,ナスルーラ系,194,17,42,0.0876,0.2165,48.3,0.0,7.89,0.1762,0.0403,1.229,A,新潟ダ短距離(1000-1300)・良・内枠(1-2)で母父系統「ナスルーラ系」は基準比リフト1.229
阪神,坂あり・パワー型,ダ,長距離(2500以上),良,外枠(7-8),母父系統,ロイヤルチャージャー系,152,19,49,0.125,0.3224,166.2,0.0,6.38,0.2639,0.0585,1.222,A,阪神ダ長距離(2500以上)・良・外枠(7-8)で母父系統「ロイヤルチャージャー系」は基準比リフト1.222
阪神,坂あり・パワー型,ダ,短中距離(1400-1600),不,中枠(3-6),母父系統,ニアークティック系,187,14,51,0.0749,0.2727,72.4,0.0,7.54,0.2231,0.0496,1.222,A,阪神ダ短中距離(1400-1600)・不・中枠(3-6)で母父系統「ニアークティック系」は基準比リフト1.222
福島,小回り・機動型,ダ,中距離(1700-2000),稍,中枠(3-6),母父系統,ニアークティック系,332,28,81,0.0843,0.244,78.7,0.0,7.6,0.1998,0.0442,1.221,A,福島ダ中距離(1700-2000)・稍・中枠(3-6)で母父系統「ニアークティック系」は基準比リフト1.221
中山,坂あり・パワー型,ダ,短距離(1000-1300),稍,外枠(7-8),母父系統,ナスルーラ系,158,12,43,0.0759,0.2722,65.7,0.0,7.38,0.2257,0.0465,1.206,A,中山ダ短距離(1000-1300)・稍・外枠(7-8)で母父系統「ナスルーラ系」は基準比リフト1.206
福島,小回り・機動型,芝,長距離(2500以上),良,内枠(1-2),母父系統,ニアークティック系,241,30,73,0.1245,0.3029,113.0,0.0,6.79,0.2516,0.0513,1.204,A,福島芝長距離(2500以上)・良・内枠(1-2)で母父系統「ニアークティック系」は基準比リフト1.204
東京,直線長め・持続型,芝,短中距離(1400-1600),稍,内枠(1-2),母父系統,ニアークティック系,210,15,52,0.0714,0.2476,53.0,0.0,7.66,0.2063,0.0413,1.2,A,東京芝短中距離(1400-1600)・稍・内枠(1-2)で母父系統「ニアークティック系」は基準比リフト1.2
京都,平坦・スピード型,ダ,中距離(1700-2000),稍,中枠(3-6),母父系統,ネイティヴダンサー系,456,45,124,0.0987,0.2719,166.4,0.0,7.12,0.2269,0.045,1.198,A,京都ダ中距離(1700-2000)・稍・中枠(3-6)で母父系統「ネイティヴダンサー系」は基準比リフト1.198
中京,直線長め・持続型,ダ,短距離(1000-1300),稍,中枠(3-6),母父系統,ニアークティック系,194,17,48,0.0876,0.2474,77.7,0.0,7.89,0.2068,0.0406,1.196,A,中京ダ短距離(1000-1300)・稍・中枠(3-6)で母父系統「ニアークティック系」は基準比リフト1.196
函館,小回り・持続型,芝,短距離(1000-1300),良,内枠(1-2),母父系統,ナスルーラ系,192,20,60,0.1042,0.3125,109.3,0.0,7.1,0.262,0.0505,1.193,A,函館芝短距離(1000-1300)・良・内枠(1-2)で母父系統「ナスルーラ系」は基準比リフト1.193
中山,坂あり・パワー型,ダ,短距離(1000-1300),重不良,内枠(1-2),母父系統,ニアークティック系,219,7,37,0.032,0.1689,23.8,0.0,8.42,0.1416,0.0273,1.193,A,中山ダ短距離(1000-1300)・重不良・内枠(1-2)で母父系統「ニアークティック系」は基準比リフト1.193
阪神,坂あり・パワー型,ダ,短中距離(1400-1600),重不良,内枠(1-2),母父系統,ロイヤルチャージャー系,154,10,36,0.0649,0.2338,24.4,0.0,8.27,0.1961,0.0377,1.192,A,阪神ダ短中距離(1400-1600)・重不良・内枠(1-2)で母父系統「ロイヤルチャージャー系」は基準比リフト1.192
東京,直線長め・持続型,ダ,短中距離(1400-1600),不,外枠(7-8),母父系統,ロイヤルチャージャー系,285,17,62,0.0596,0.2175,73.4,0.0,8.21,0.1827,0.0348,1.19,A,東京ダ短中距離(1400-1600)・不・外枠(7-8)で母父系統「ロイヤルチャージャー系」は基準比リフト1.19
中京,直線長め・持続型,ダ,短中距離(1400-1600),良,中枠(3-6),母父系統,ネイティヴダンサー系,661,46,155,0.0696,0.2345,102.3,0.0,7.69,0.1973,0.0372,1.189,A,中京ダ短中距離(1400-1600)・良・中枠(3-6)で母父系統「ネイティヴダンサー系」は基準比リフト1.189
京都,平坦・スピード型,ダ,短中距離(1400-1600),良,外枠(7-8),母父系統,ネイティヴダンサー系,606,59,140,0.0974,0.231,104.9,0.0,7.51,0.1942,0.0368,1.189,A,京都ダ短中距離(1400-1600)・良・外枠(7-8)で母父系統「ネイティヴダンサー系」は基準比リフト1.189
阪神,坂あり・パワー型,芝,短中距離(1400-1600),良,外枠(7-8),母父系統,ナスルーラ系,610,43,138,0.0705,0.2262,94.0,0.0,7.96,0.1907,0.0355,1.186,A,阪神芝短中距離(1400-1600)・良・外枠(7-8)で母父系統「ナスルーラ系」は基準比リフト1.186
京都,平坦・スピード型,芝,短距離(1000-1300),良,外枠(7-8),母父系統,ロイヤルチャージャー系,393,34,81,0.0865,0.2061,62.6,0.0,8.07,0.1739,0.0322,1.185,A,京都芝短距離(1000-1300)・良・外枠(7-8)で母父系統「ロイヤルチャージャー系」は基準比リフト1.185
福島,小回り・機動型,芝,中距離(1700-2000),稍,中枠(3-6),母父系統,ネイティヴダンサー系,152,11,33,0.0724,0.2171,75.7,0.0,7.34,0.1834,0.0337,1.184,A,福島芝中距離(1700-2000)・稍・中枠(3-6)で母父系統「ネイティヴダンサー系」は基準比リフト1.184
中山,坂あり・パワー型,ダ,短距離(1000-1300),不,中枠(3-6),母父系統,ニアークティック系,314,27,80,0.086,0.2548,81.0,0.0,7.79,0.2154,0.0394,1.183,A,中山ダ短距離(1000-1300)・不・中枠(3-6)で母父系統「ニアークティック系」は基準比リフト1.183
京都,平坦・スピード型,ダ,短中距離(1400-1600),稍,内枠(1-2),母父系統,ネイティヴダンサー系,157,10,36,0.0637,0.2293,71.0,0.0,7.59,0.1939,0.0354,1.183,A,京都ダ短中距離(1400-1600)・稍・内枠(1-2)で母父系統「ネイティヴダンサー系」は基準比リフト1.183
函館,小回り・持続型,ダ,中距離(1700-2000),良,外枠(7-8),母父系統,ナスルーラ系,208,16,59,0.0769,0.2837,63.7,0.0,6.94,0.2402,0.0435,1.181,A,函館ダ中距離(1700-2000)・良・外枠(7-8)で母父系統「ナスルーラ系」は基準比リフト1.181
東京,直線長め・持続型,ダ,短中距離(1400-1600),重不良,中枠(3-6),母父系統,ネイティヴダンサー系,615,45,141,0.0732,0.2293,149.5,0.0,8.07,0.1943,0.035,1.18,A,東京ダ短中距離(1400-1600)・重不良・中枠(3-6)で母父系統「ネイティヴダンサー系」は基準比リフト1.18
新潟,直線長め・平坦型,ダ,短距離(1000-1300),重不良,中枠(3-6),母父系統,ニアークティック系,229,16,53,0.0699,0.2314,50.9,0.0,7.49,0.1964,0.035,1.178,A,新潟ダ短距離(1000-1300)・重不良・中枠(3-6)で母父系統「ニアークティック系」は基準比リフト1.178
阪神,坂あり・パワー型,ダ,中距離(1700-2000),良,内枠(1-2),母父系統,ニアークティック系,896,58,217,0.0647,0.2422,57.4,0.0,7.7,0.206,0.0362,1.176,A,阪神ダ中距離(1700-2000)・良・内枠(1-2)で母父系統「ニアークティック系」は基準比リフト1.176
中京,直線長め・持続型,芝,長距離(2500以上),良,中枠(3-6),母父系統,ロイヤルチャージャー系,323,30,83,0.0929,0.257,61.2,0.0,7.15,0.219,0.038,1.174,A,中京芝長距離(2500以上)・良・中枠(3-6)で母父系統「ロイヤルチャージャー系」は基準比リフト1.174
小倉,小回り・機動型,ダ,中距離(1700-2000),重不良,外枠(7-8),母父系統,ロイヤルチャージャー系,219,20,48,0.0913,0.2192,84.6,0.0,8.08,0.1868,0.0324,1.173,A,小倉ダ中距離(1700-2000)・重不良・外枠(7-8)で母父系統「ロイヤルチャージャー系」は基準比リフト1.173
福島,小回り・機動型,ダ,中距離(1700-2000),良,内枠(1-2),母父系統,ナスルーラ系,165,12,41,0.0727,0.2485,63.2,0.0,7.29,0.2121,0.0364,1.172,A,福島ダ中距離(1700-2000)・良・内枠(1-2)で母父系統「ナスルーラ系」は基準比リフト1.172
